song_id,tempo,energy_rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
Agar_Agar_You're_High,107.666015625,0.1264246702194214,1751.9117224324766,-172.26466,128.42989,-22.631268,16.963644,-11.627662,3.0740788,3.186665,-16.989866,-16.995598,-5.41684,-3.9495509,0.28331783,-6.0771985,0.51737684,0.25109673,0.28651536,0.32478836,0.5080735,0.340987,0.2647767,0.2887878,0.3276773,0.4267302,0.25788468,0.52381474
Agar_Agar_You're_High,107.666015625,0.1264246702194214,1751.9117224324766,-172.26466,128.42989,-22.631268,16.963644,-11.627662,3.0740788,3.186665,-16.989866,-16.995598,-5.41684,-3.9495509,0.28331783,-6.0771985,0.51737684,0.25109673,0.28651536,0.32478836,0.5080735,0.340987,0.2647767,0.2887878,0.3276773,0.4267302,0.25788468,0.52381474
Agar_Agar_You're_High,107.666015625,0.1264246702194214,1751.9117224324766,-172.26466,128.42989,-22.631268,16.963644,-11.627662,3.0740788,3.186665,-16.989866,-16.995598,-5.41684,-3.9495509,0.28331783,-6.0771985,0.51737684,0.25109673,0.28651536,0.32478836,0.5080735,0.340987,0.2647767,0.2887878,0.3276773,0.4267302,0.25788468,0.52381474
Agar_Agar_You're_High,107.666015625,0.1264246702194214,1751.9117224324766,-172.26466,128.42989,-22.631268,16.963644,-11.627662,3.0740788,3.186665,-16.989866,-16.995598,-5.41684,-3.9495509,0.28331783,-6.0771985,0.51737684,0.25109673,0.28651536,0.32478836,0.5080735,0.340987,0.2647767,0.2887878,0.3276773,0.4267302,0.25788468,0.52381474
Agar_Agar_You're_High,107.666015625,0.1264246702194214,1751.9117224324766,-172.26466,128.42989,-22.631268,16.963644,-11.627662,3.0740788,3.186665,-16.989866,-16.995598,-5.41684,-3.9495509,0.28331783,-6.0771985,0.51737684,0.25109673,0.28651536,0.32478836,0.5080735,0.340987,0.2647767,0.2887878,0.3276773,0.4267302,0.25788468,0.52381474
Agar_Agar_You're_High,107.666015625,0.1264246702194214,1751.9117224324766,-172.26466,128.42989,-22.631268,16.963644,-11.627662,3.0740788,3.186665,-16.989866,-16.995598,-5.41684,-3.9495509,0.28331783,-6.0771985,0.51737684,0.25109673,0.28651536,0.32478836,0.5080735,0.340987,0.2647767,0.2887878,0.3276773,0.4267302,0.25788468,0.52381474
Agar_Agar_You're_High,107.666015625,0.1264246702194214,1751.9117224324766,-172.26466,128.42989,-22.631268,16.963644,-11.627662,3.0740788,3.186665,-16.989866,-16.995598,-5.41684,-3.9495509,0.28331783,-6.0771985,0.51737684,0.25109673,0.28651536,0.32478836,0.5080735,0.340987,0.2647767,0.2887878,0.3276773,0.4267302,0.25788468,0.52381474
Princess_Chelsea_The_Cigarette_Duet,143.5546875,0.09423904865980148,1258.5718621193841,-275.87006,119.16743,-17.942823,33.775772,26.586016,11.582609,-15.684809,1.597044,-12.06182,-19.952995,-4.0968127,13.08676,-6.7132087,0.44931412,0.28558975,0.3347033,0.22908166,0.11842609,0.25442117,0.1383481,0.16660629,0.094837144,0.068330266,0.08378086,0.24229604
Princess_Chelsea_The_Cigarette_Duet,143.5546875,0.10478594154119492,1381.0784974628627,-243.9435,129.3085,-19.717754,36.297596,27.34113,12.629896,-15.70067,3.5881245,-13.001832,-21.593365,-5.111024,13.857136,-7.328585,0.49289984,0.31660998,0.3759468,0.24840671,0.12628286,0.26955348,0.1446179,0.17527682,0.104218036,0.08157335,0.099804856,0.26280877
Princess_Chelsea_The_Cigarette_Duet,143.5546875,0.09423904865980148,1258.5718621193841,-275.87006,119.16743,-17.942823,33.775772,26.586016,11.582609,-15.684809,1.597044,-12.06182,-19.952995,-4.0968127,13.08676,-6.7132087,0.44931412,0.28558975,0.3347033,0.22908166,0.11842609,0.25442117,0.1383481,0.16660629,0.094837144,0.068330266,0.08378086,0.24229604
Princess_Chelsea_The_Cigarette_Duet,143.5546875,0.09423904865980148,1258.5718621193841,-275.87006,119.16743,-17.942823,33.775772,26.586016,11.582609,-15.684809,1.597044,-12.06182,-19.952995,-4.0968127,13.08676,-6.7132087,0.44931412,0.28558975,0.3347033,0.22908166,0.11842609,0.25442117,0.1383481,0.16660629,0.094837144,0.068330266,0.08378086,0.24229604
Agar_Agar_You're_High,107.666015625,0.1264246702194214,1751.9117224324766,-172.26466,128.42989,-22.631268,16.963644,-11.627662,3.0740788,3.186665,-16.989866,-16.995598,-5.41684,-3.9495509,0.28331783,-6.0771985,0.51737684,0.25109673,0.28651536,0.32478836,0.5080735,0.340987,0.2647767,0.2887878,0.3276773,0.4267302,0.25788468,0.52381474
Agar_Agar_You're_High,107.666015625,0.1264246702194214,1751.9117224324766,-172.26466,128.42989,-22.631268,16.963644,-11.627662,3.0740788,3.186665,-16.989866,-16.995598,-5.41684,-3.9495509,0.28331783,-6.0771985,0.51737684,0.25109673,0.28651536,0.32478836,0.5080735,0.340987,0.2647767,0.2887878,0.3276773,0.4267302,0.25788468,0.52381474
Balthazar_Bunker,151.99908088235293,0.019339732825756073,1530.4514490532772,-365.33835,113.69841,-6.8397717,30.982573,3.7769988,6.5550528,3.8082972,4.1928043,4.916899,0.14372225,-2.808438,3.081881,2.1456861,0.48168492,0.30908617,0.29687294,0.33869547,0.34575438,0.45794535,0.37911454,0.4780213,0.49121293,0.4187806,0.4190819,0.30240995
Barış_Manço_Ahmet_Beyin_Ceketi,95.703125,0.07633920013904572,2209.8597095929176,-139.62592,94.80721,-33.626118,27.051767,-8.105128,9.39864,-14.678155,2.583476,-1.9746068,3.7647452,-1.5729805,-0.1308743,-4.925447,0.1900527,0.2692512,0.41311112,0.231389,0.47630942,0.28541493,0.39986578,0.4470139,0.34946117,0.28537688,0.26505455,0.5346058
Barış_Manço_Ahmet_Beyin_Ceketi,95.703125,0.07633920013904572,2209.8597095929176,-139.62592,94.80721,-33.626118,27.051767,-8.105128,9.39864,-14.678155,2.583476,-1.9746068,3.7647452,-1.5729805,-0.1308743,-4.925447,0.1900527,0.2692512,0.41311112,0.231389,0.47630942,0.28541493,0.39986578,0.4470139,0.34946117,0.28537688,0.26505455,0.5346058
Barış_Manço_Ahmet_Beyin_Ceketi,95.703125,0.07633920013904572,2209.8597095929176,-139.62592,94.80721,-33.626118,27.051767,-8.105128,9.39864,-14.678155,2.583476,-1.9746068,3.7647452,-1.5729805,-0.1308743,-4.925447,0.1900527,0.2692512,0.41311112,0.231389,0.47630942,0.28541493,0.39986578,0.4470139,0.34946117,0.28537688,0.26505455,0.5346058
sezen_aksı_zalim,107.666015625,0.2264164835214615,2041.9006063641164,-56.835205,97.29106,-6.138819,38.737125,7.6365275,15.0075,-8.213082,8.38722,-5.1814013,4.311392,-4.925711,-0.39727736,-5.4948936,0.41870585,0.26838037,0.40155652,0.43843797,0.6986167,0.52025014,0.43850604,0.34289053,0.22179244,0.20263252,0.24640982,0.6054568
Müslüm_Gürses_Affet,151.99908088235293,0.16885243356227875,1274.0617184882844,-166.74983,147.63376,-5.301861,31.744013,-2.6989784,3.6732218,-10.953681,-6.8007984,-8.14248,-5.321177,-16.35201,-11.562097,-10.732664,0.20387909,0.1695298,0.42492917,0.35089013,0.14833052,0.16964866,0.18910834,0.5510148,0.24761155,0.22369212,0.26261476,0.15949854
Lin_Pesto_Sadece_Sevilmek_İstedim,143.5546875,0.08839480578899384,2611.0912316575223,-189.2283,77.9034,6.0956116,20.399849,-1.7892284,6.638695,-7.9875717,-7.012615,-14.548108,-5.342073,-8.675014,1.911584,-10.695598,0.50757706,0.28858167,0.4529871,0.25582117,0.35380045,0.51170105,0.29595575,0.36615646,0.2833092,0.5494005,0.26687762,0.33261853
Blur_Girls_&_Boys,117.45383522727273,0.08734288811683655,2419.0859943446,-198.95908,90.40557,20.358519,9.508514,5.2320604,10.380262,-2.0297632,6.333536,-5.6694107,3.8847444,7.207518,5.271416,-3.2690544,0.40423405,0.3315706,0.5289325,0.46765953,0.4065538,0.45871133,0.42019364,0.524768,0.3178944,0.311649,0.3362441,0.32584193
Blur_Girls_&_Boys,117.45383522727273,0.08734288811683655,2419.0859943446,-198.95908,90.40557,20.358519,9.508514,5.2320604,10.380262,-2.0297632,6.333536,-5.6694107,3.8847444,7.207518,5.271416,-3.2690544,0.40423405,0.3315706,0.5289325,0.46765953,0.4065538,0.45871133,0.42019364,0.524768,0.3178944,0.311649,0.3362441,0.32584193
