song_id,title,artist,som_x,som_y
Palmiyeler_Kalbimdeki_Bıçak,Kalbimdeki Bıçak,Palmiyeler,0,19
Palmiyeler_Doğan_Güneş_Bizi_Yakar,Doğan Güneş Bizi Yakar,Palmiyeler,2,3
Palmiyeler_Ölüm_Bizi_Bekler,Ölüm Bizi Bekler,Palmiyeler,13,0
Palmiyeler_Orman,Orman,Palmiyeler,12,1
Palmiyeler_Gül_Renkli_Şafak,Gül Renkli Şafak,Palmiyeler,17,5
Palmiyeler_Şeytan_Odama_Geldi,Şeytan Odama Geldi,Palmiyeler,2,16
Palmiyeler_Yollar,Yollar,Palmiyeler,10,4
Palmiyeler_Bakma_Ona_Buna,Bakma Ona Buna,Palmiyeler,14,2
Palmiyeler_Zincir,Zincir,Palmiyeler,1,12
Palmiyeler_Yalnızlık_Benim_Adım,Yalnızlık Benim Adım,Palmiyeler,13,3
"Palmiyeler_Aslında,_Galiba","Aslında, Galiba",Palmiyeler,0,2
Palmiyeler_Gün_Doğmadan_Gel,Gün Doğmadan Gel,Palmiyeler,10,5
Palmiyeler_Paramparça,Paramparça,Palmiyeler,12,9
Palmiyeler_Ne_Kadar_Sevsen_De,Ne Kadar Sevsen De,Palmiyeler,18,2
Palmiyeler_Babaçko,Babaçko,Palmiyeler,11,0
Palmiyeler_Yakalım_Alışveriş_Merkezlerini,Yakalım Alışveriş Merkezlerini,Palmiyeler,8,4
Palmiyeler_Perdeyi_Arala,Perdeyi Arala,Palmiyeler,0,19
Palmiyeler_Schick_&_Schön,Schick & Schön,Palmiyeler,14,7
Palmiyeler_İkimiz,İkimiz,Palmiyeler,19,5
Palmiyeler_Yerinde_Olsam,Yerinde Olsam,Palmiyeler,14,6
Palmiyeler_Sonuçta_Farklı_Kafalar,Sonuçta Farklı Kafalar,Palmiyeler,15,2
Palmiyeler_Bilseydim,Bilseydim,Palmiyeler,11,0
Palmiyeler_Ben_de_Doğdum,Ben de Doğdum,Palmiyeler,11,3
Palmiyeler_Bize_Sorma,Bize Sorma,Palmiyeler,6,10
Palmiyeler_Köpekler,Köpekler,Palmiyeler,12,8
Jakuzi_Koca_Bir_Saçmalık,Koca Bir Saçmalık,Jakuzi,6,17
Jakuzi_Toz,Toz,Jakuzi,8,2
Jakuzi_İstediğin_Gibi_Kullan,İstediğin Gibi Kullan,Jakuzi,10,0
Jakuzi_Bir_Düşmanım_Var,Bir Düşmanım Var,Jakuzi,8,2
Jakuzi_Yarım_Kalan,Yarım Kalan,Jakuzi,8,16
Jakuzi_Sahipsiz_Gölge,Sahipsiz Gölge,Jakuzi,11,11
Jakuzi_Yine_Aynı_Şeyi_Yaptım,Yine Aynı Şeyi Yaptım,Jakuzi,0,19
Jakuzi_Yalnızlar_Caddesi,Yalnızlar Caddesi,Jakuzi,0,19
Jakuzi_İstemezdim,İstemezdim,Jakuzi,6,4
Jakuzi_Açık_Bir_Yara,Açık Bir Yara,Jakuzi,11,4
Jakuzi_Sür_Beni,Sür Beni,Jakuzi,3,11
Jakuzi_Şüphe,Şüphe,Jakuzi,5,9
Jakuzi_Ne_Teselli_Ne_Avuntu,Ne Teselli Ne Avuntu,Jakuzi,14,0
Jakuzi_Geriye_Dönemiyor,Geriye Dönemiyor,Jakuzi,0,19
Jakuzi_Belki_De_Sen_Haklısın,Belki De Sen Haklısın,Jakuzi,12,0
Jakuzi_Korkuluk,Korkuluk,Jakuzi,0,19
Jakuzi_Kendine_Rağmen,Kendine Rağmen,Jakuzi,10,16
Jakuzi_Her_An_Ölecek_Gibi,Her An Ölecek Gibi,Jakuzi,11,7
Jakuzi_Aptal_Bir_İnat,Aptal Bir İnat,Jakuzi,12,0
Jakuzi_Merasim,Merasim,Jakuzi,16,7
Jakuzi_Hiç_Işık_Yok,Hiç Işık Yok,Jakuzi,19,6
Jakuzi_Yangın,Yangın,Jakuzi,19,11
Jakuzi_Sana_Göre_Bir_Şey_Yok,Sana Göre Bir Şey Yok,Jakuzi,10,0
Jakuzi_Lubunya,Lubunya,Jakuzi,5,2
Jakuzi_Bir_Şey_Olur,Bir Şey Olur,Jakuzi,0,18
Jakuzi_Çürük_Düş,Çürük Düş,Jakuzi,8,3
Jakuzi_Son_Süratle,Son Süratle,Jakuzi,9,0
Jakuzi_Kalbim_Köprü_Gibi,Kalbim Köprü Gibi,Jakuzi,16,0
Jakuzi_Gördüğüm_Rüya,Gördüğüm Rüya,Jakuzi,14,9
Jakuzi_Üstüme_Gelme,Üstüme Gelme,Jakuzi,6,3
Son_Feci_Bisiklet_Uyku,Uyku,Son Feci Bisiklet,9,6
Son_Feci_Bisiklet_Bu_Kız,Bu Kız,Son Feci Bisiklet,15,5
Son_Feci_Bisiklet_Bikinisinde_Astronomi,Bikinisinde Astronomi,Son Feci Bisiklet,1,17
Son_Feci_Bisiklet_Pazar_Ve_Ertesi,Pazar Ve Ertesi,Son Feci Bisiklet,5,10
Son_Feci_Bisiklet_Zaman_Yok,Zaman Yok,Son Feci Bisiklet,6,10
Son_Feci_Bisiklet_6patlar,6patlar,Son Feci Bisiklet,9,15
Son_Feci_Bisiklet_Galiba_Sevmiyorlar,Galiba Sevmiyorlar,Son Feci Bisiklet,4,15
Son_Feci_Bisiklet_80,80,Son Feci Bisiklet,9,0
