song_id,title,artist,som_x,som_y
Mabel_Matiz_Babamı_Beklerken,Babamı Beklerken,Mabel Matiz,1,6
Mabel_Matiz_Dualar_Değişir,Dualar Değişir,Mabel Matiz,20,2
Mabel_Matiz_Fena_Halde_Bela,Fena Halde Bela,Mabel Matiz,8,1
Mabel_Matiz_Derin_Olur,Derin Olur,Mabel Matiz,20,2
Mabel_Matiz_Çerez,Çerez,Mabel Matiz,8,1
Mabel_Matiz_Yaban,Yaban,Mabel Matiz,8,1
Nükhet_Duru_Nerde,Nerde,Nükhet Duru,17,12
Mabel_Matiz_Veda_Ettim_Geçmişe,Veda Ettim Geçmişe,Mabel Matiz,20,2
Mabel_Matiz_Krallar,Krallar,Mabel Matiz,8,1
Mabel_Matiz_Pullarımı_Gömdüğüm_Deniz,Pullarımı Gömdüğüm Deniz,Mabel Matiz,20,2
Mabel_Matiz_Dört_Duvar,Dört Duvar,Mabel Matiz,20,2
Mabel_Matiz_Elbette_Annem,Elbette Annem,Mabel Matiz,20,2
Mabel_Matiz_Ayrılık_Buna_Denir,Ayrılık Buna Denir,Mabel Matiz,1,6
Mabel_Matiz_Pembe,Pembe,Mabel Matiz,20,2
Mabel_Matiz_Ölü_Pantolon,Ölü Pantolon,Mabel Matiz,1,6
Mabel_Matiz_Severim,Severim,Mabel Matiz,17,12
Mabel_Matiz_Öküz,Öküz,Mabel Matiz,20,2
Mabel_Matiz_Kavşaklar,Kavşaklar,Mabel Matiz,1,6
Mabel_Matiz_Enderun’da_Aşk,Enderun’da Aşk,Mabel Matiz,8,1
Mabel_Matiz_Zaman,Zaman,Mabel Matiz,20,2
Mabel_Matiz_Şüpheli_Şarkının_Şairi,Şüpheli Şarkının Şairi,Mabel Matiz,20,2
Mabel_Matiz_Mükemmeli,Mükemmeli,Mabel Matiz,20,2
Mabel_Matiz_Matizin_Şarkısı,Matizin Şarkısı,Mabel Matiz,1,6
Mabel_Matiz_Ah_Bu_Sefer,Ah Bu Sefer,Mabel Matiz,20,2
Mabel_Matiz_Aldanıyor,Aldanıyor,Mabel Matiz,17,12
Mabel_Matiz_Laubali,Laubali,Mabel Matiz,1,6
Mabel_Matiz_Kaba_Kağıt,Kaba Kağıt,Mabel Matiz,8,1
