song_id,title,artist,language,tempo,energy_rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,som_x,som_y,jitter_x,jitter_y
Katy_Perry_Circle_The_Drain,Circle The Drain,Katy Perry,en,135.99917763157896,0.0948898643255233,2613.121969366737,-146.69589,73.72525,-11.568833,30.091013,11.720376,5.668085,9.0263605,10.734617,10.3438225,14.461828,-5.2441792,5.3407106,1.3413184,0.40533802,0.4053347,0.50121427,0.6082688,0.4311073,0.3483483,0.33878595,0.48474637,0.501319,0.4893794,0.6442692,0.45019782,0,3,0.38841930660417445,2.671707635856662
Katy_Perry_Champagne_Problems,Champagne Problems,Katy Perry,en,143.5546875,0.0880499184131622,2256.0178502682625,-187.58813,84.638405,-11.619763,21.505167,-4.6439357,2.5810947,-2.9625754,-3.144249,-5.890658,4.4940443,-1.3968,-0.0621319,-5.8227406,0.45132163,0.39308637,0.5059701,0.32535794,0.3419903,0.41953775,0.29916662,0.35146698,0.36614165,0.46795452,0.39232963,0.38764378,9,9,9.04324670676817,9.146439918423651
Katy_Perry_NIRVANA,NIRVANA,Katy Perry,en,129.19921875,0.2365444451570511,1743.0378275485098,-151.82439,123.30083,10.302208,22.803902,15.066858,13.0492,9.538574,6.98388,7.2502613,8.339085,1.4779348,2.1979213,0.5351859,0.37572178,0.44073302,0.31468013,0.22617999,0.28533006,0.26727995,0.44517043,0.41740322,0.4133304,0.48875087,0.42466882,0.44104972,1,7,1.344666291340646,7.369811262428137
Katy_Perry_ALL_THE_LOVE,ALL THE LOVE,Katy Perry,en,129.19921875,0.2206705808639526,1305.199717735563,-206.18887,123.50703,33.8848,8.2330885,0.30377746,0.76705736,-0.87360924,5.382138,-2.0329814,-0.14311118,-2.5595295,0.9128335,1.3420542,0.32733312,0.33930138,0.5120352,0.24763271,0.18950209,0.16350952,0.2283609,0.2765221,0.3496786,0.5788796,0.42918953,0.422422,21,12,20.604279190955378,11.840461686443218
Katy_Perry_OK,OK,Katy Perry,en,123.046875,0.1993535459041595,1851.192634503888,-132.4829,106.98609,-22.73078,5.4190216,-1.5590677,-5.2175446,-7.8095565,-2.689971,-1.8713413,1.5234617,-5.7871084,1.8246007,-2.2382133,0.30311292,0.42482874,0.61047775,0.33257574,0.31872085,0.31384078,0.5446503,0.34810397,0.33896518,0.48331398,0.38101283,0.40127978,10,7,10.19859104494472,7.289158337123478
Katy_Perry_Witness,Witness,Katy Perry,en,123.046875,0.1175263971090316,1242.9797521519004,-276.43445,98.772224,20.060051,20.400488,8.564978,-3.0009694,-11.622819,-9.430271,-12.49025,-4.027453,-6.225499,-3.0454345,-6.3522654,0.32597122,0.46584865,0.2803159,0.3511801,0.43362153,0.23333856,0.20049024,0.22535472,0.38354707,0.31552005,0.2655813,0.37444758,12,7,12.322440522482012,7.346926036326617
Katy_Perry_Déjà_Vu,Déjà Vu,Katy Perry,en,117.45383522727272,0.1683473736047744,2099.181149357275,-153.0346,96.068954,10.563519,3.0645964,-8.225495,-9.010186,-8.891583,-8.177434,-15.407146,-3.5849776,-13.563402,-9.92207,-10.369385,0.27666882,0.19133909,0.20621845,0.29700977,0.5754312,0.28027567,0.27648044,0.470624,0.2997561,0.380768,0.25015196,0.3541002,20,13,19.711776453583163,13.19766896751586
Katy_Perry_Who_Am_I_Living_For?,Who Am I Living For?,Katy Perry,en,60.09265988372093,0.1512105911970138,2720.814103520481,-157.02179,66.035614,12.465741,21.48498,0.06336054,-7.1053643,-7.0205812,0.60633403,-1.5645107,4.8393617,-5.2391205,4.315912,-3.3010828,0.293816,0.22662722,0.29543778,0.25561443,0.32839164,0.2216109,0.2292361,0.27992898,0.3821735,0.60763764,0.38222918,0.33332697,9,9,8.676900681385721,8.785062649845568
Katy_Perry_If_You_Can_Afford_Me,If You Can Afford Me,Katy Perry,en,151.99908088235293,0.2590100765228271,2798.481945521334,-36.823685,66.01766,7.3165073,29.872374,5.785993,10.09291,0.6843118,7.941419,1.9086155,6.5227423,-3.421993,2.5430782,-5.5480146,0.3822351,0.47920752,0.44567853,0.44991452,0.38347608,0.43595287,0.55305755,0.46840227,0.42711362,0.38661933,0.43988246,0.35248122,4,5,3.9396580857487646,4.8672005750612755
Katy_Perry_Teary_Eyes,Teary Eyes,Katy Perry,en,161.4990234375,0.107977494597435,1581.9169772329149,-204.9732,146.36206,12.2615795,11.468592,-4.139256,-9.401928,-6.667249,-2.040955,-7.5534887,-2.3479896,-4.518399,-7.971793,-17.555283,0.31700832,0.20339537,0.30289307,0.18795732,0.24031939,0.16848126,0.36086074,0.4820169,0.24446991,0.33660427,0.2661143,0.47452426,16,21,16.34694312490635,20.628647435534184
Katy_Perry_Small_Talk,Small Talk,Katy Perry,en,117.45383522727272,0.1605188697576522,2288.1643893056867,-149.53564,84.81796,6.836525,25.014421,9.097964,-3.0797403,-1.9413719,-2.0606773,-2.891486,0.93423814,-7.7991424,-4.5914764,-5.339206,0.53410494,0.28737536,0.24600446,0.2074585,0.31046304,0.4428248,0.2842352,0.31565407,0.29689717,0.4255757,0.32191685,0.33062592,8,8,8.033909248152352,8.265162587396285
Katy_Perry_Lost,Lost,Katy Perry,en,89.10290948275862,0.1723939627408981,1437.7259915675909,-163.45386,137.10243,10.558234,13.37157,2.9494474,6.0113444,-1.6604424,-3.086841,-1.4462849,4.8539033,-5.736251,-0.0072676125,-2.5346873,0.46954376,0.24704438,0.20681424,0.14926387,0.20550856,0.26174504,0.19794126,0.28875366,0.25957683,0.36772698,0.32668436,0.33040234,13,8,13.021965170977385,8.279688949208865
