song_id,title,artist,som_x,som_y
Mabel_Matiz_A_Canım,A Canım,Mabel Matiz,6,4
Mabel_Matiz_Gel,Gel,Mabel Matiz,19,13
Mabel_Matiz_Ahu,Ahu,Mabel Matiz,12,1
Mabel_Matiz_Ya_Bu_İşler_Ne,Ya Bu İşler Ne,Mabel Matiz,7,0
Mabel_Matiz_Aşk_Yok_Olmaktır,Aşk Yok Olmaktır,Mabel Matiz,11,5
Mabel_Matiz_Zor_Değil,Zor Değil,Mabel Matiz,15,6
Mabel_Matiz_Sarışın,Sarışın,Mabel Matiz,5,8
Mabel_Matiz_Sarmaşık,Sarmaşık,Mabel Matiz,4,7
Mabel_Matiz_Bir_Hadise_Var,Bir Hadise Var,Mabel Matiz,21,21
Mabel_Matiz_Fırtınadayım,Fırtınadayım,Mabel Matiz,14,6
Mabel_Matiz_Kömür,Kömür,Mabel Matiz,7,4
Mabel_Matiz_Yaşım_Çocuk,Yaşım Çocuk,Mabel Matiz,9,0
Mabel_Matiz_Öyle_Kolaysa,Öyle Kolaysa,Mabel Matiz,21,21
Mabel_Matiz_Mendilimde_Kırmızım_Var,Mendilimde Kırmızım Var,Mabel Matiz,13,15
Mert_Demir_Antidepresan,Antidepresan,Mert Demir,9,7
Mabel_Matiz_Dağılıyorum_Olaysız,Dağılıyorum Olaysız,Mabel Matiz,5,7
Mabel_Matiz_Fan,Fan,Mabel Matiz,11,7
Mabel_Matiz_Düldül,Düldül,Mabel Matiz,16,2
Mabel_Matiz_Müphem,Müphem,Mabel Matiz,14,0
Mabel_Matiz_Numaracı,Numaracı,Mabel Matiz,15,6
Selin_YANILIR_GİBİ,YANILIR GİBİ,Selin,10,0
Aleyna_Tilki_Kayboldum_Masalında,Kayboldum Masalında,Aleyna Tilki,19,8
Mabel_Matiz_Karakol,Karakol,Mabel Matiz,8,9
Mabel_Matiz_Gözlerine,Gözlerine,Mabel Matiz,14,3
Mabel_Matiz_Bahçemin_En_Zor_Gülü,Bahçemin En Zor Gülü,Mabel Matiz,18,10
Mabel_Matiz_Sultan_Süleyman,Sultan Süleyman,Mabel Matiz,14,19
Mabel_Matiz_İki_Satır_Yara,İki Satır Yara,Mabel Matiz,21,21
Mabel_Matiz_Boyalı_Da_Saçların,Boyalı Da Saçların,Mabel Matiz,20,13
Can_Bonomo_Kalbi_Hepten_Kırıklara,Kalbi Hepten Kırıklara,Can Bonomo,8,0
Mabel_Matiz_Aferin,Aferin,Mabel Matiz,9,21
Mabel_Matiz_Toy,Toy,Mabel Matiz,4,0
Mabel_Matiz_Yeni_Yaz,Yeni Yaz,Mabel Matiz,17,8
Mabel_Matiz_Gök_Nerede,Gök Nerede,Mabel Matiz,14,5
Mabel_Matiz_Vals,Vals,Mabel Matiz,21,12
Mabel_Matiz_Kül_Hece,Kül Hece,Mabel Matiz,10,18
Mabel_Matiz_Kara_Dantelli_Gençliğimize,Kara Dantelli Gençliğimize,Mabel Matiz,15,8
Ceylan_Ertem_Kör_Heves,Kör Heves,Ceylan Ertem,11,19
Mabel_Matiz_Hanfendi,Hanfendi,Mabel Matiz,10,18
Mabel_Matiz_Yıllar_Saçlarına,Yıllar Saçlarına,Mabel Matiz,15,17
Mabel_Matiz_Aşkım_Gülüm,Aşkım Gülüm,Mabel Matiz,21,18
Mabel_Matiz_Adını_Sen_Koy,Adını Sen Koy,Mabel Matiz,19,16
Mabel_Matiz_Tuzla_Buz,Tuzla Buz,Mabel Matiz,8,18
Mabel_Matiz_Değilsin,Değilsin,Mabel Matiz,16,3
Mabel_Matiz_Çukur,Çukur,Mabel Matiz,5,2
Mabel_Matiz_Kalbime_Azap,Kalbime Azap,Mabel Matiz,14,0
Mabel_Matiz_Arafta,Arafta,Mabel Matiz,19,16
Mabel_Matiz_Kahrettim,Kahrettim,Mabel Matiz,18,5
Mabel_Matiz_Söylese_O_Ben_Söyleyemem,Söylese O Ben Söyleyemem,Mabel Matiz,15,2
Ko_Shin_Moon_Perperişan,Perperişan,Ko Shin Moon,13,5
Can_Bonomo_Canım_Diye,Canım Diye,Can Bonomo,12,7
Mabel_Matiz_Gök_Mavi,Gök Mavi,Mabel Matiz,9,0
Mabel_Matiz_Kerem_Gibi,Kerem Gibi,Mabel Matiz,16,4
Mabel_Matiz_Sen_Benim_Şarkılarımsın,Sen Benim Şarkılarımsın,Mabel Matiz,20,17
Mabel_Matiz_Mor_Perdeler,Mor Perdeler,Mabel Matiz,21,2
Mabel_Matiz_Atlar_Yoruldu,Atlar Yoruldu,Mabel Matiz,14,5
Mabel_Matiz_Dalga,Dalga,Mabel Matiz,13,6
Mabel_Matiz_Geziyorum_Dünya_İşte,Geziyorum Dünya İşte,Mabel Matiz,13,4
Bengü_Beker_Siyah_İncim,Siyah İncim,Bengü Beker,21,15
Mabel_Matiz_Aşk_Çeşmesi,Aşk Çeşmesi,Mabel Matiz,21,5
Mabel_Matiz_Çiçeğim,Çiçeğim,Mabel Matiz,20,4
Mabel_Matiz_Bir_Serçe_Üzülür,Bir Serçe Üzülür,Mabel Matiz,20,17
Mabel_Matiz_Filler_Ve_Çimen,Filler Ve Çimen,Mabel Matiz,14,4
Selda_Bağcan_Yuh_Yuh,Yuh Yuh,Selda Bağcan,17,12
Mabel_Matiz_Uçkun,Uçkun,Mabel Matiz,6,6
Mabel_Matiz_Alaimisema,Alaimisema,Mabel Matiz,15,5
Mabel_Matiz_Tamburu_Yokuştan,Tamburu Yokuştan,Mabel Matiz,7,6
Mabel_Matiz_Sarışın_Değil,Sarışın Değil,Mabel Matiz,16,0
Mabel_Matiz_Babamı_Beklerken,Babamı Beklerken,Mabel Matiz,6,8
Mabel_Matiz_Dualar_Değişir,Dualar Değişir,Mabel Matiz,12,17
Mabel_Matiz_Fena_Halde_Bela,Fena Halde Bela,Mabel Matiz,12,3
Mabel_Matiz_Derin_Olur,Derin Olur,Mabel Matiz,16,0
Mabel_Matiz_Çerez,Çerez,Mabel Matiz,16,6
Mabel_Matiz_Yaban,Yaban,Mabel Matiz,18,5
Nükhet_Duru_Nerde,Nerde,Nükhet Duru,13,2
Mabel_Matiz_Veda_Ettim_Geçmişe,Veda Ettim Geçmişe,Mabel Matiz,19,17
Mabel_Matiz_Krallar,Krallar,Mabel Matiz,15,8
Mabel_Matiz_Pullarımı_Gömdüğüm_Deniz,Pullarımı Gömdüğüm Deniz,Mabel Matiz,19,18
Mabel_Matiz_Dört_Duvar,Dört Duvar,Mabel Matiz,20,21
Mabel_Matiz_Elbette_Annem,Elbette Annem,Mabel Matiz,21,19
Mabel_Matiz_Ayrılık_Buna_Denir,Ayrılık Buna Denir,Mabel Matiz,11,4
Mabel_Matiz_Pembe,Pembe,Mabel Matiz,18,18
Mabel_Matiz_Ölü_Pantolon,Ölü Pantolon,Mabel Matiz,15,21
Mabel_Matiz_Severim,Severim,Mabel Matiz,0,11
Mabel_Matiz_Öküz,Öküz,Mabel Matiz,21,21
Mabel_Matiz_Kavşaklar,Kavşaklar,Mabel Matiz,21,11
Mabel_Matiz_Enderun’da_Aşk,Enderun’da Aşk,Mabel Matiz,17,2
Mabel_Matiz_Zaman,Zaman,Mabel Matiz,10,18
Mabel_Matiz_Şüpheli_Şarkının_Şairi,Şüpheli Şarkının Şairi,Mabel Matiz,21,20
Mabel_Matiz_Mükemmeli,Mükemmeli,Mabel Matiz,8,4
Mabel_Matiz_Matizin_Şarkısı,Matizin Şarkısı,Mabel Matiz,11,20
Mabel_Matiz_Ah_Bu_Sefer,Ah Bu Sefer,Mabel Matiz,13,17
Mabel_Matiz_Aldanıyor,Aldanıyor,Mabel Matiz,10,0
Mabel_Matiz_Laubali,Laubali,Mabel Matiz,14,0
Mabel_Matiz_Kaba_Kağıt,Kaba Kağıt,Mabel Matiz,9,0
Mabel_Matiz_Öteki,Öteki,Mabel Matiz,8,20
Mabel_Matiz_Canki,Canki,Mabel Matiz,8,8
Mabel_Matiz_Kara_Beyaz_Kedi,Kara Beyaz Kedi,Mabel Matiz,21,19
Mabel_Matiz_Sefil_Çıplak_Korkusuz,Sefil Çıplak Korkusuz,Mabel Matiz,13,5
Ah!_Kosmos_Mavi,Mavi,Ah! Kosmos,10,6
Mabel_Matiz_Hercai_Menekşe,Hercai Menekşe,Mabel Matiz,20,15
Mabel_Matiz_Barışırsa_Ruhum,Barışırsa Ruhum,Mabel Matiz,7,19
Mabel_Matiz_Peruk_Gibi_Hüzünlü,Peruk Gibi Hüzünlü,Mabel Matiz,13,17
Mabel_Matiz_Morinin_Meyhanesi,Morinin Meyhanesi,Mabel Matiz,12,21
Mabel_Matiz_Fena_Halde,Fena Halde,Mabel Matiz,12,3
Can_Bonomo_Tastamam,Tastamam,Can Bonomo,10,6
Can_Bonomo_Dem,Dem,Can Bonomo,4,3
Can_Bonomo_Güneş,Güneş,Can Bonomo,14,16
Can_Bonomo_Hikayem_Bitmedi,Hikayem Bitmedi,Can Bonomo,16,0
Can_Bonomo_Rüyamda_Buluttum,Rüyamda Buluttum,Can Bonomo,20,9
Can_Bonomo_Sar,Sar,Can Bonomo,9,5
Can_Bonomo_Kal_Bugün,Kal Bugün,Can Bonomo,7,5
Can_Bonomo_Tükeniyor_Ömrüm,Tükeniyor Ömrüm,Can Bonomo,11,0
Can_Bonomo_Resmini_Görünce,Resmini Görünce,Can Bonomo,11,0
Can_Bonomo_Meczup,Meczup,Can Bonomo,11,4
Can_Bonomo_Dağ,Dağ,Can Bonomo,5,0
Can_Bonomo_ELALEM,ELALEM,Can Bonomo,12,0
Can_Bonomo_Bulunmam_Gerek,Bulunmam Gerek,Can Bonomo,13,6
Can_Bonomo_Bardak_Taşıyor,Bardak Taşıyor,Can Bonomo,3,3
Can_Bonomo_Yine_Karşılaşırsak,Yine Karşılaşırsak,Can Bonomo,3,0
Can_Bonomo_Delinin_Düşü,Delinin Düşü,Can Bonomo,8,4
Can_Bonomo_Tarzım_Değil,Tarzım Değil,Can Bonomo,5,2
Fatma_Turgut_Beni_Tutmayın,Beni Tutmayın,Fatma Turgut,10,9
Can_Bonomo_Love_Me_Back,Love Me Back,Can Bonomo,3,13
Can_Bonomo_Yan,Yan,Can Bonomo,15,4
Can_Bonomo_Esmer,Esmer,Can Bonomo,6,6
Can_Bonomo_Bir_Başına,Bir Başına,Can Bonomo,11,0
Can_Bonomo_Bahr-i_Hazer,Bahr-i Hazer,Can Bonomo,9,3
Can_Bonomo_Kanadım_Aşktan,Kanadım Aşktan,Can Bonomo,19,4
Can_Bonomo_Dönelim,Dönelim,Can Bonomo,6,5
Can_Bonomo_Senin_Olmadan_Ölemem,Senin Olmadan Ölemem,Can Bonomo,14,0
Can_Bonomo_Kara_Konular,Kara Konular,Can Bonomo,20,14
Sertab_Erener_Fış_Fış_Kayıkçı,Fış Fış Kayıkçı,Sertab Erener,7,21
Can_Bonomo_Şaşkın,Şaşkın,Can Bonomo,17,9
Can_Bonomo_Kara,Kara,Can Bonomo,13,21
Can_Bonomo_İyi_ki_Doğdun,İyi ki Doğdun,Can Bonomo,21,6
Can_Bonomo_Kapkara,Kapkara,Can Bonomo,7,0
Can_Bonomo_Toz_Duman,Toz Duman,Can Bonomo,14,5
Can_Bonomo_Sen_Bunları_Duyma,Sen Bunları Duyma,Can Bonomo,14,7
Can_Bonomo_Ağla_Şimdi_Sonsuza_Kadar,Ağla Şimdi Sonsuza Kadar,Can Bonomo,5,6
Can_Bonomo_Çal,Çal,Can Bonomo,12,2
Can_Bonomo_Sar_Hüzünleri_Başa,Sar Hüzünleri Başa,Can Bonomo,11,3
Can_Bonomo_Bana_Bir_Saz_Verin,Bana Bir Saz Verin,Can Bonomo,7,0
Can_Bonomo_Terslik_Var,Terslik Var,Can Bonomo,15,4
Can_Bonomo_Derda,Derda,Can Bonomo,0,8
Can_Bonomo_Acı_Kiraz,Acı Kiraz,Can Bonomo,17,10
Can_Bonomo_Ruhum_Bela,Ruhum Bela,Can Bonomo,2,0
Can_Bonomo_Eğlen,Eğlen,Can Bonomo,14,0
Can_Bonomo_Ben_Gideyim,Ben Gideyim,Can Bonomo,18,7
Can_Temiz_Misafir,Misafir,Can Temiz,16,15
Can_Bonomo_Gazapistan,Gazapistan,Can Bonomo,14,1
Can_Bonomo_Araba,Araba,Can Bonomo,14,18
Can_Bonomo_Ali_Baba,Ali Baba,Can Bonomo,9,2
Can_Bonomo_Sustum,Sustum,Can Bonomo,13,0
Can_Bonomo_Olmaz_Sensiz,Olmaz Sensiz,Can Bonomo,21,1
Can_Bonomo_Kaçak,Kaçak,Can Bonomo,14,5
Can_Bonomo_Her_Kız_Başka,Her Kız Başka,Can Bonomo,0,11
Can_Bonomo_Bir_Çocuk_Yaralı,Bir Çocuk Yaralı,Can Bonomo,21,5
Can_Bonomo_Bu_Benim,Bu Benim,Can Bonomo,12,0
Can_Bonomo_Bak_Jandarma_Geliyor,Bak Jandarma Geliyor,Can Bonomo,9,6
Can_Bonomo_Başkan,Başkan,Can Bonomo,5,0
Can_Bonomo_Kaplan,Kaplan,Can Bonomo,7,0
Can_Bonomo_Beni_Sal,Beni Sal,Can Bonomo,18,12
Can_Bonomo_Keyfim_Kaçık_Acık,Keyfim Kaçık Acık,Can Bonomo,7,19
Can_Bonomo_Defol,Defol,Can Bonomo,17,9
Can_Bonomo_Ölesim_Var,Ölesim Var,Can Bonomo,9,3
Can_Bonomo_Yağma_Yağmur,Yağma Yağmur,Can Bonomo,6,12
Can_Bonomo_Umman_Dondu,Umman Dondu,Can Bonomo,21,21
Can_Bonomo_Tutmayın_Beni,Tutmayın Beni,Can Bonomo,15,5
Can_Bonomo_Oğlanlar_Kızlar,Oğlanlar Kızlar,Can Bonomo,11,3
Can_Bonomo_Sebebi_Var,Sebebi Var,Can Bonomo,17,5
Can_Bonomo_Abla,Abla,Can Bonomo,19,0
Can_Bonomo_Süper,Süper,Can Bonomo,15,18
Can_Bonomo_Hep_Bi'_Derdi_Olur,Hep Bi' Derdi Olur,Can Bonomo,15,7
Can_Bonomo_Vurulmuşum,Vurulmuşum,Can Bonomo,11,21
Can_Bonomo_Yaz_Gelsin,Yaz Gelsin,Can Bonomo,3,4
Can_Bonomo_Pes,Pes,Can Bonomo,8,6
Can_Bonomo_Gel_Beni_Kurtar,Gel Beni Kurtar,Can Bonomo,4,2
Can_Bonomo_Min-El_Aşk_ve_Min-El_Garaib,Min-El Aşk ve Min-El Garaib,Can Bonomo,8,0
Can_Bonomo_Maşrapa,Maşrapa,Can Bonomo,0,0
Can_Bonomo_Ben_Yağmurum,Ben Yağmurum,Can Bonomo,9,0
Can_Bonomo_Sakla,Sakla,Can Bonomo,8,1
Can_Bonomo_Bravo,Bravo,Can Bonomo,11,8
Can_Bonomo_Daha_Sıcak_Daha_Dumanlı,Daha Sıcak Daha Dumanlı,Can Bonomo,3,6
Can_Bonomo_Basması_Pembe,Basması Pembe,Can Bonomo,7,1
Can_Bonomo_Opıum,Opıum,Can Bonomo,21,21
Can_Bonomo_Son,Son,Can Bonomo,18,6
Can_Bonomo_Haberler_İyi_Paşam,Haberler İyi Paşam,Can Bonomo,11,5
Can_Bonomo_Namus_Belası,Namus Belası,Can Bonomo,5,6
Can_Bonomo_Ayıl,Ayıl,Can Bonomo,18,10
Can_Bonomo_Love_Me_Back_-_Karaoke,Love Me Back - Karaoke,Can Bonomo,4,6
Can_Bonomo_Balon,Balon,Can Bonomo,2,0
Can_Bonomo_Veysel,Veysel,Can Bonomo,5,21
Can_Bonomo_Breathe,Breathe,Can Bonomo,0,15
Gökhan_Türkmen_Derdim,Derdim,Gökhan Türkmen,19,18
Gökhan_Türkmen_Çatı_Katı,Çatı Katı,Gökhan Türkmen,15,10
Gökhan_Türkmen_Bitmesin,Bitmesin,Gökhan Türkmen,18,1
Gökhan_Türkmen_Sen_İstanbul'sun,Sen İstanbul'sun,Gökhan Türkmen,19,2
Ayşegül_Aldinç_Durum_Leyla,Durum Leyla,Ayşegül Aldinç,21,8
Gökhan_Türkmen_Mahşer,Mahşer,Gökhan Türkmen,12,18
Gökhan_Türkmen_Lafügüzaf,Lafügüzaf,Gökhan Türkmen,21,10
Gökhan_Türkmen_Taş,Taş,Gökhan Türkmen,17,17
Gökhan_Türkmen_Aşk,Aşk,Gökhan Türkmen,21,0
Aslı_Demirer_Korkak,Korkak,Aslı Demirer,16,12
Gökhan_Türkmen_Ben_Unuturum,Ben Unuturum,Gökhan Türkmen,20,7
Gökhan_Türkmen_Dene,Dene,Gökhan Türkmen,19,0
Gökhan_Türkmen_Aşk_Lazım,Aşk Lazım,Gökhan Türkmen,16,0
Harun_Kolçak_Yanımda_Kal,Yanımda Kal,Harun Kolçak,19,5
Gökhan_Türkmen_Büyük_İnsan,Büyük İnsan,Gökhan Türkmen,18,0
Gökhan_Türkmen_Açık_Adres_-_SAYGI1,Açık Adres - SAYGI1,Gökhan Türkmen,16,15
Gökhan_Türkmen_Bir_Öykü,Bir Öykü,Gökhan Türkmen,14,14
Gökhan_Türkmen_Rüya,Rüya,Gökhan Türkmen,21,3
Gökhan_Türkmen_Biraz_Ayrılık,Biraz Ayrılık,Gökhan Türkmen,12,17
Gökhan_Türkmen_Kalbim,Kalbim,Gökhan Türkmen,21,7
Gökhan_Türkmen_Dön,Dön,Gökhan Türkmen,5,0
Gökhan_Türkmen_İhtimaller_Perisi,İhtimaller Perisi,Gökhan Türkmen,21,9
Gökhan_Türkmen_Bir_Başıma,Bir Başıma,Gökhan Türkmen,21,0
Gökhan_Türkmen_Yan_Sen,Yan Sen,Gökhan Türkmen,5,0
Gökhan_Türkmen_Ayıp_Ettin,Ayıp Ettin,Gökhan Türkmen,3,0
Gökhan_Türkmen_Olmadı,Olmadı,Gökhan Türkmen,16,14
Gökhan_Türkmen_Ezberime,Ezberime,Gökhan Türkmen,18,8
Gökhan_Türkmen_Seninle_Ben,Seninle Ben,Gökhan Türkmen,7,5
Gökhan_Türkmen_Öyle_Güzel_Ki,Öyle Güzel Ki,Gökhan Türkmen,21,16
Gökhan_Türkmen_Bal,Bal,Gökhan Türkmen,17,16
Gökhan_Türkmen_Susma,Susma,Gökhan Türkmen,16,5
Gökhan_Türkmen_Dön_Bebeğim,Dön Bebeğim,Gökhan Türkmen,21,14
Gökhan_Türkmen_Olabilir,Olabilir,Gökhan Türkmen,4,21
Gökhan_Türkmen_Yüreğim,Yüreğim,Gökhan Türkmen,18,2
Gökhan_Türkmen_Yorgun,Yorgun,Gökhan Türkmen,9,0
Çodur_Pişmanım,Pişmanım,Çodur,8,4
Gökhan_Türkmen_İlla,İlla,Gökhan Türkmen,18,19
Gökhan_Türkmen_Ah_Yandım,Ah Yandım,Gökhan Türkmen,15,6
Gökhan_Türkmen_Oysa_Ki,Oysa Ki,Gökhan Türkmen,17,13
Gökhan_Türkmen_Kurşuni_Renkler,Kurşuni Renkler,Gökhan Türkmen,21,14
Gökhan_Türkmen_Bir_Başkası,Bir Başkası,Gökhan Türkmen,21,0
Gökhan_Türkmen_Kiraz_Çiçekleri,Kiraz Çiçekleri,Gökhan Türkmen,19,11
Gökhan_Türkmen_Efkarlıyım,Efkarlıyım,Gökhan Türkmen,11,0
Ceylan_Ertem_Gönül,Gönül,Ceylan Ertem,19,15
Gökhan_Türkmen_Özür_Dilerim,Özür Dilerim,Gökhan Türkmen,17,8
Gökhan_Türkmen_Ihtimaller_Perisi,Ihtimaller Perisi,Gökhan Türkmen,21,9
Gökhan_Türkmen_Gökyüzünden,Gökyüzünden,Gökhan Türkmen,17,17
Deeperise_Durumlar_Müsait,Durumlar Müsait,Deeperise,12,18
Gökhan_Türkmen_Kalbim_(Organik),Kalbim (Organik),Gökhan Türkmen,0,0
Gökhan_Türkmen_Ben_Aşk_Bilirim,Ben Aşk Bilirim,Gökhan Türkmen,15,20
Berkay_Unutamam_/_Çatı_Katı,Unutamam / Çatı Katı,Berkay,20,15
Gökhan_Türkmen_Deli,Deli,Gökhan Türkmen,9,5
Gökhan_Türkmen_Dayanamam,Dayanamam,Gökhan Türkmen,17,16
Gökhan_Türkmen_Yas,Yas,Gökhan Türkmen,21,8
Gökhan_Türkmen_Herkes_Yolunda,Herkes Yolunda,Gökhan Türkmen,5,21
Gökhan_Türkmen_Buram_Buram,Buram Buram,Gökhan Türkmen,20,9
Gökhan_Türkmen_Sensiz_Daha_Güzel,Sensiz Daha Güzel,Gökhan Türkmen,10,21
Gökhan_Türkmen_Şerefine,Şerefine,Gökhan Türkmen,7,2
Gökhan_Türkmen_Yaramaz,Yaramaz,Gökhan Türkmen,21,19
Gökhan_Türkmen_Çürük,Çürük,Gökhan Türkmen,12,8
Gökhan_Türkmen_Platonik,Platonik,Gökhan Türkmen,15,17
Gökhan_Türkmen_Deli_-_Remake,Deli - Remake,Gökhan Türkmen,10,7
Ceylan_Ertem_Kadınım,Kadınım,Ceylan Ertem,9,1
Gökhan_Türkmen_Ağır_Ağır,Ağır Ağır,Gökhan Türkmen,7,11
Gökhan_Türkmen_Yalnızım_Ulan,Yalnızım Ulan,Gökhan Türkmen,19,10
Gökhan_Türkmen_Para_Hala_Bende,Para Hala Bende,Gökhan Türkmen,13,8
Bahadır_Tatlıöz_Bedende_Ruh_Yokken,Bedende Ruh Yokken,Bahadır Tatlıöz,15,21
Gökhan_Türkmen_Heyecan,Heyecan,Gökhan Türkmen,21,10
Gökhan_Türkmen_Kalem,Kalem,Gökhan Türkmen,5,0
Gökhan_Türkmen_Mavi,Mavi,Gökhan Türkmen,10,20
Gökhan_Türkmen_Yılan,Yılan,Gökhan Türkmen,20,19
Gökhan_Türkmen_Gülmedi_Kader,Gülmedi Kader,Gökhan Türkmen,12,0
Gökhan_Türkmen_Kısacası,Kısacası,Gökhan Türkmen,14,0
Gökhan_Türkmen_Yudum_Yudum,Yudum Yudum,Gökhan Türkmen,21,9
