song_id,title,artist,language,tempo,energy_rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
Gülşen_Lolipop,Lolipop,Gülşen,tr,117.45383522727272,0.141379252076149,2625.2535527477,-169.37175,76.311646,-7.0914416,12.695478,7.5571136,0.5780067,-1.2313104,-0.48881224,-7.291197,4.377251,-6.3597407,2.474559,-3.2833502,0.3579309,0.37178275,0.5133227,0.45810235,0.3860612,0.3968916,0.4021418,0.41457203,0.3956065,0.45364535,0.40851587,0.3727414
Gülşen_Kara_Böcükler,Kara Böcükler,Gülşen,tr,86.1328125,0.0696671679615974,2552.7464535864265,-214.9569,68.53791,-12.912251,19.958248,-0.8518057,8.971011,-0.9350726,3.7395847,-8.953987,2.3256977,-3.582562,0.32725483,-4.338478,0.27708533,0.18552202,0.19719146,0.34157,0.5247078,0.28745115,0.20988528,0.23953167,0.27849072,0.42950997,0.31814498,0.29498512
Gülşen_Arkadaş_Kalalım,Arkadaş Kalalım,Gülşen,tr,86.1328125,0.1518338620662689,2356.6542001046005,-55.825077,95.54364,-10.906873,21.306528,-4.194659,8.91807,-2.3682196,0.096525066,-3.7573216,-2.8349168,-10.860791,-3.6729841,-9.633871,0.38848108,0.24698453,0.22907686,0.3546535,0.25109577,0.3651751,0.21694663,0.4245477,0.3820181,0.25994137,0.4628277,0.2581351
Gülşen_Parti_Kur_Oy_Vereyim,Parti Kur Oy Vereyim,Gülşen,tr,123.046875,0.2376575320959091,3153.3574614257323,-31.514887,49.02112,-9.654811,25.047003,3.0430248,6.8787704,1.9966867,3.3767192,-0.7651,3.9266853,-0.99747205,3.002051,0.7073577,0.46828142,0.49308026,0.45866445,0.46389377,0.59011227,0.6503209,0.5468524,0.61606556,0.66536826,0.5746534,0.5880292,0.44141474
Gülşen_Tek_Taraflı,Tek Taraflı,Gülşen,tr,135.99917763157896,0.1952926069498062,2319.399779359432,-79.9818,87.058304,5.223945,28.827263,10.009414,14.273665,4.7091284,5.7480106,-1.6225947,4.876912,-3.2626302,2.7353568,2.17267,0.4373244,0.39114383,0.45719314,0.37277937,0.50805724,0.316048,0.38882512,0.42985705,0.32388535,0.36509094,0.3436431,0.5291006
Gülşen_Son_Perde,Son Perde,Gülşen,tr,129.19921875,0.1070118620991706,2646.1769486812805,-144.11238,75.65708,18.476946,23.46997,9.292042,8.626524,0.8949139,4.65643,-6.393525,4.1116495,-5.1870956,3.1520486,-5.7807426,0.38093722,0.29838753,0.29059038,0.2685362,0.45095518,0.35267985,0.29581594,0.3498972,0.37310395,0.618967,0.45318174,0.33665186
Gülşen_Can_Gidiyor,Can Gidiyor,Gülşen,tr,99.38401442307692,0.0696469098329544,1351.73481953576,-263.7475,147.7564,-2.9219036,13.026923,13.775941,0.2934196,-4.3066435,-5.408623,-9.733146,-0.6990088,-1.2191813,1.2292901,-7.5561614,0.505347,0.38093498,0.23199886,0.30319747,0.22714996,0.3458851,0.18457277,0.27126566,0.2667144,0.14966324,0.16879086,0.20031573
Gülşen_Delikanlım,Delikanlım,Gülşen,tr,69.83741554054055,0.2617451548576355,2021.2718372623333,-87.098724,94.37109,9.484223,32.022724,11.421385,18.897604,6.9250784,11.742996,0.2970191,5.877715,0.8623284,7.146513,3.0018854,0.4246249,0.41201743,0.319034,0.3631524,0.4477754,0.63442475,0.5188174,0.48591605,0.5711551,0.45771283,0.52987134,0.37437922
Gülşen_Kış_Yaşattın,Kış Yaşattın,Gülşen,tr,143.5546875,0.0505147278308868,1391.4841175480296,-318.60883,114.343254,9.398004,10.939797,2.3736732,1.6417478,-5.415204,-14.87162,-23.896204,-17.491964,-21.208954,-14.401775,-15.289339,0.21376453,0.35322085,0.1916158,0.3141751,0.25525883,0.12362881,0.2551907,0.12699722,0.25757068,0.18729377,0.1580484,0.29459694
Gülşen_İhanet,İhanet,Gülşen,tr,135.99917763157896,0.0645904242992401,2978.0496132912795,-194.11209,62.707664,6.2787,24.647713,2.5644875,14.59283,-0.2703419,3.3658946,-1.1808109,1.8151245,-4.3119326,1.9301357,-3.7723324,0.350468,0.3460865,0.3660199,0.38916448,0.44725087,0.42175955,0.44650868,0.5566275,0.38669413,0.3295535,0.2842757,0.3432873
